CA Dept of State Hospitals (DSH-San Diego),8566582,13481833,APM00073500860,APM00073500860,11/19/07 0:00,NA,"ASSY, CX3-20C ISCSI/COMBO HA CHASSIS DEL",100-561-429,CLARiiON CX3-20,HARDWARE-PART,CLARIION-CX3,CLARiiON,Install,,03.26.020.5.011,ASP,WEBEX,EMAIL HOME,,,62303779,SA-SALE-US,NA,NA,NA,1752-12-31 00:00:00,1752-12-31 00:00:00,N,Unisys ASP Optional,NA,,,,,3420 CAMINO DEL RIO N,STE 215,SAN DIEGO,CA,,92108,America/Los_Angeles,Daniel.Rolls@emc.com,52513 AM CS District,sam.newman@emc.com,west.am@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121403352,ARWAV121403352,7/25/12 12:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339626334D4AE52644605,,64670222,SW-SWAP-US,64670222HL,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121403353,ARWAV121403353,7/25/12 12:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339626334D4AE52644605,,64670222,SW-SWAP-US,64670222HL,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121403354,ARWAV121403354,7/25/12 12:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339626334D4AE52644605,,64670222,SW-SWAP-US,64670222HL,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121503458,ARWAV121503458,7/25/12 0:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,64672012,SW-SWAP-US,,,,,,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121503460,ARWAV121503460,7/25/12 0:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,64672012,SW-SWAP-US,,,,,,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121503464,ARWAV121503464,7/25/12 0:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,64672012,SW-SWAP-US,,,,,,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV121503459,ARWAV121503459,7/25/12 0:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.0.1.66,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,64672012,SW-SWAP-US,,,,,,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV120300782,ARWAV120300782,7/17/12 0:00,AVM1NUTILFG4,ADS GEN4 UTILITY NODE,100-580-616,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.1.0-402 SLES,EMC,WEBEX,EMAIL HOME,,,64672012,SW-SWAP-US,64672012H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ALT17114700146,ALT17114700146,5/19/12 0:00,AVMSWITCHG4,LAYER3 10/100/1000 BASET ETHERNET SWITCH,100-580-700,,HARDWARE-PART,AVAMAR-NA,,Install,,,EMC,,,,,64672012,SW-SWAP-US,64672012H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ALT17114700145,ALT17114700145,5/19/12 0:00,AVMSWITCHG4,LAYER3 10/100/1000 BASET ETHERNET SWITCH,100-580-700,,HARDWARE-PART,AVAMAR-NA,,Install,,,EMC,,,,,64672012,SW-SWAP-US,64672012H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV124110012,ARWAV124110012,1/10/13 5:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.1.1-87 SLES,EMC,NOT APPLICABLE,NOT APPLICABLE,1339626334D4AE52644605,,30112009,SA-SALE,30112009H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV124110013,ARWAV124110013,2/4/13 5:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.1.0-402 SLES,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,30112009,SA-SALE,30112009H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ARWAV124210031,ARWAV124210031,2/4/13 5:00,AVM1NSTG7FG4,ADS Gen4 7.8TB Storage Node,100-580-617,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,6.1.0-402 SLES,EMC,WEBEX,EMAIL HOME,1339541996782BCB77CE3A,,30112009,SA-SALE,30112009H,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,1285028586A4BADB4047FE,1285028586A4BADB4047FE,3/16/11 0:00,456-100-309,AVAMAR SOLUTION IDENTIFIER,900-580-003,Avamar,SOFTWARE-PART,AVAMAR-NA,Avamar,Install,,,EMC,WEBEX,EMAIL HOME,APM00103500950,7/25/12 9:31,,,64234812L,ENSP,TERMINATED,6/24/12 0:00,6/23/14 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,1284670116A4BADB3344EC,1284670116A4BADB3344EC,9/7/10 12:25,456-100-309,AVAMAR SOLUTION IDENTIFIER,900-580-003,Avamar,SOFTWARE-PART,AVAMAR-NA,Avamar,Install,,,EMC,WEBEX,EMAIL HOME,APM00102701840,7/26/12 19:25,,,64234812L,ENSP,TERMINATED,6/24/12 0:00,6/23/14 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,1339541996782BCB77CE3A,1339541996782BCB77CE3A,7/27/12 17:54,456-100-309,AVAMAR SOLUTION IDENTIFIER,900-580-003,Avamar,SOFTWARE-PART,AVAMAR-NA,Avamar,Install,,6.1.0-402 SLES,EMC,WEBEX,EMAIL HOME,"ARWAV124110013,ARWAV124210031,ARWAV121503460,ARWAV121503457,ARWAV121503459,ARWAV121503458,ARWAV121503464",5/5/16 14:34,64672012,,63848447L,ENSP,TERMINATED,9/23/13 0:00,7/25/14 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,APM00124838921,APM00124838921,2/8/13 0:00,VNX53D156015,VNX5300 PSNT,900-567-002,VNX5300,HARDWARE-PART,UNIFIED-VNX,VNX/VNXe Family,Install,,05.32.000.5.218,ASP,ESRS,EMAIL HOME,,4/24/16 6:53,30111095,SA-SALE,30111095H,PREMIUM,ACTIVE,1/9/16 0:00,6/30/16 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,APM00141107591,APM00141107591,9/17/14 0:00,VNXB58DP25M,VNX5800 PSNT,900-566-027,VNX5800,HARDWARE-PART,UNIFIED-VNX2,VNX/VNXe Family,Install,,05.33.000.5.081,ASP,ESRS,EMAIL HOME,,5/1/16 8:19,30412014,SA-SALE,30412014H,PREMIUM,ACTIVE,6/19/14 0:00,7/18/19 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,BRCBRW2519K04F,BRCBRW2519K04F,9/22/14 0:00,DS-6510R-B,DS-6510R-B RTF-AF 24P/48P 16GB SWITCH,100-652-582,Connectrix (Brocade B Series) DS-6510,HARDWARE-PART,CONNECTRIX-BROC,Connectrix,Install,,CUSTOMER INSTALLABLE,EMC,NOT CONFIGURED,NOT CONFIGURED,,,30418462,SA-SALE,30418462H,PREMIUM,ACTIVE,6/24/14 0:00,7/23/19 0:00,N,NA,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,BRCBRW2519K04G,BRCBRW2519K04G,9/22/14 0:00,DS-6510R-B,DS-6510R-B RTF-AF 24P/48P 16GB SWITCH,100-652-582,Connectrix (Brocade B Series) DS-6510,HARDWARE-PART,CONNECTRIX-BROC,Connectrix,Install,,CUSTOMER INSTALLABLE,EMC,NOT CONFIGURED,NOT CONFIGURED,,,30418462,SA-SALE,30418462H,PREMIUM,ACTIVE,6/24/14 0:00,7/23/19 0:00,N,NA,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,SN400-301423-0199,SN400-301423-0199,11/13/14 0:00,NL400-SAT-006,NL400 BASE,610-0007-03,Isilon Gen4 NL 4U,HARDWARE-PART,ISILON-NA,Isilon,Install,,7.1.1.4,ASP,NOT CONFIGURED,M&A CONNECTION,,5/1/16 3:03,30450424,SA-SALE,30450424IS,PREMIUM,ACTIVE,8/11/14 0:00,8/10/17 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,SN400-301433-0082,SN400-301433-0082,11/13/14 0:00,NL400-SAT-006,NL400 BASE,610-0007-03,Isilon Gen4 NL 4U,HARDWARE-PART,ISILON-NA,Isilon,Install,,CUSTOMER INSTALLABLE,ASP,NOT CONFIGURED,M&A CONNECTION,,2/24/15 23:17,30450424,SA-SALE,30450424IS,PREMIUM,ACTIVE,8/11/14 0:00,8/10/17 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,SN400-301433-0083,SN400-301433-0083,11/13/14 0:00,NL400-SAT-006,NL400 BASE,610-0007-03,Isilon Gen4 NL 4U,HARDWARE-PART,ISILON-NA,Isilon,Install,,7.2.0.3,ASP,NOT CONFIGURED,M&A CONNECTION,,10/1/15 4:13,30450424,SA-SALE,30450424IS,PREMIUM,ACTIVE,8/11/14 0:00,8/10/17 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,CNVS211400102,CNVS211400102,11/13/14 0:00,851-0170,SWITCH INFINIBAND 18-PORT,851-0170-03,Isilon Switch,HARDWARE-PART,ISILON-NA,Isilon,Install,,CUSTOMER INSTALLABLE,ASP,NOT CONFIGURED,NOT CONFIGURED,,,30450424,SA-SALE,30450424IS,PREMIUM,ACTIVE,8/11/14 0:00,8/10/17 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Rancho Cordova),10856097,71549000,CNVS211400090,CNVS211400090,11/13/14 0:00,851-0170,SWITCH INFINIBAND 18-PORT,851-0170-03,Isilon Switch,HARDWARE-PART,ISILON-NA,Isilon,Install,,CUSTOMER INSTALLABLE,ASP,NOT CONFIGURED,NOT CONFIGURED,,,30450424,SA-SALE,30450424IS,PREMIUM,ACTIVE,8/11/14 0:00,8/10/17 0:00,N,Unisys ASP Optional,NA,,,,,3101 GOLD CAMP DR,C/O DEPARTMENT OF TECHNOLOGY SERVICES,RANCHO CORDOVA,CA,,95670,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Patton),9904688,71549000,BRCBRW2536G011,BRCBRW2536G011,8/26/13 0:00,DS-6510R-B,DS-6510R-B RTF-AF 24P/48P 16GB SWITCH,100-652-582,Connectrix (Brocade B Series) DS-6510,HARDWARE-PART,CONNECTRIX-BROC,Connectrix,Install,,6.4.3c,ASP,ESRS,ESRS,,6/24/14 13:47,30226959,SA-SALE,30226959H,PREMIUM,ACTIVE,7/29/13 0:00,8/27/16 0:00,N,Unisys ASP Optional,NA,,,,,C/O PATTON STATE HOSPITAL,3102 E HIGHLAND AVE,PATTON,CA,,92369,America/Los_Angeles,ronald.freedman@emc.com,52213 AM CS District,,david.farris@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
